80,80
2, 1.99999
2, 1.99999
2, 1.99998
1.99999, 1.99997
1.99999, 1.99997
1.99998, 1.99996
1.99998, 1.99994
1.99997, 1.99993
1.99996, 1.99992
1.99995, 1.99991
1.99994, 1.99989
1.99993, 1.99988
1.99992, 1.99986
1.99991, 1.99984
1.99989, 1.99983
1.99988, 1.99981
1.99986, 1.99979
1.99984, 1.99977
1.99983, 1.99974
1.99981, 1.99972
1.99979, 1.9997
1.99977, 1.99967
1.99975, 1.99965
1.99972, 1.99962
1.9997, 1.99959
1.99967, 1.99957
1.99965, 1.99954
1.99962, 1.99951
1.99959, 1.99948
1.99957, 1.99945
1.99954, 1.99941
1.99951, 1.99938
1.99948, 1.99934
1.99944, 1.99931
1.99941, 1.99927
1.99938, 1.99924
1.99934, 1.9992
1.9993, 1.99916
1.99927, 1.99912
1.99923, 1.99908
1.99919, 1.99904
1.99915, 1.999
1.99911, 1.99895
1.99907, 1.99891
1.99902, 1.99886
1.99898, 1.99882
1.99894, 1.99877
1.99889, 1.99872
1.99884, 1.99868
1.9988, 1.99863
1.99875, 1.99858
1.9987, 1.99852
1.99865, 1.99847
1.9986, 1.99842
1.99854, 1.99837
1.99849, 1.99831
1.99843, 1.99826
1.99838, 1.9982
1.99832, 1.99814
1.99827, 1.99809
1.99821, 1.99803
1.99815, 1.99797
1.99809, 1.99791
1.99803, 1.99784
1.99796, 1.99778
1.9979, 1.99772
1.99784, 1.99765
1.99777, 1.99759
1.99771, 1.99752
1.99764, 1.99746
1.99757, 1.99739
1.9975, 1.99732
1.99743, 1.99725
1.99736, 1.99718
1.99729, 1.99711
1.99722, 1.99704
1.99714, 1.99696
1.99707, 1.99689
1.99699, 1.99681
1.99692, 1.99674
2, 1.99999
1.99999, 1.99997
1.99998, 1.99996
1.99997, 1.99993
1.99995, 1.99991
1.99993, 1.99988
1.99991, 1.99984
1.99988, 1.99981
1.99984, 1.99976
1.99981, 1.99972
1.99977, 1.99967
1.99972, 1.99962
1.99967, 1.99956
1.99962, 1.9995
1.99957, 1.99944
1.99951, 1.99937
1.99944, 1.9993
1.99938, 1.99922
1.9993, 1.99914
1.99923, 1.99906
1.99915, 1.99897
1.99907, 1.99888
1.99898, 1.99879
1.99889, 1.99869
1.9988, 1.99859
1.9987, 1.99848
1.9986, 1.99837
1.99849, 1.99826
1.99838, 1.99814
1.99827, 1.99802
1.99815, 1.9979
1.99803, 1.99777
1.9979, 1.99764
1.99777, 1.99751
1.99764, 1.99737
1.9975, 1.99723
1.99736, 1.99708
1.99722, 1.99693
1.99707, 1.99678
1.99692, 1.99662
1.99676, 1.99646
1.9966, 1.99629
1.99644, 1.99613
1.99627, 1.99595
1.9961, 1.99578
1.99592, 1.9956
1.99574, 1.99542
1.99556, 1.99523
1.99538, 1.99504
1.99518, 1.99485
1.99499, 1.99465
1.99479, 1.99445
1.99459, 1.99424
1.99438, 1.99403
1.99417, 1.99382
1.99396, 1.99361
1.99374, 1.99339
1.99352, 1.99316
1.9933, 1.99294
1.99307, 1.99271
